colname,durablename,static,pats,units_cd,mxinsts,nval_num,patvis_null,mxconmod,patvis,pats_null,colid,mod,ccd,name,cid,ddomain,mxfacts,valueflag_cd,tval_char,colcd,valtype_cd,c_info
patient_num,patient_num,---,,,,,,,,,patient_num,,,patient_num,,,,,,,,
start_date,start_date,2020-07-21,,,,,,,,,start_date,,,start_date,,,,,,,,
birth_date,birth_date,2020-07-21,,,,,,,,,birth_date,,,birth_date,,,,,,,,
sex_cd,sex_cd,---,,,,,,,,,sex_cd,,,sex_cd,,,,,,,,
language_cd,language_cd,---,,,,,,,,,language_cd,,,language_cd,,,,,,,,
race_cd,race_cd,---,,,,,,,,,race_cd,,,race_cd,,,,,,,,
age_at_visit_days,age_at_visit_days,0,,,,,,,,,age_at_visit_days,,,age_at_visit_days,,,,,,,,
age_at_death_days,age_at_death_days,0,,,,,,,,,age_at_death_days,,,age_at_death_days,,,,,,,,
v002_vntltrs_brthng_tf,_vntltrs_brthng_tf,v002_vntltrs_brthng,3,1,1,,312342,1,3,14841,v002_vntltrs_brthng,,1,"1014859 - Ventilation assist and management, initiation of pressure or volume preset ventilators for assisted or controlled breathing",2,CPT,1,,,v002,,
v002_vntltrs_brthng,_vntltrs_brthng,,3,1,1,,312342,1,3,14841,v002_vntltrs_brthng,,1,"1014859 - Ventilation assist and management, initiation of pressure or volume preset ventilators for assisted or controlled breathing",2,CPT,1,,,v002,,TRUE
v003_Glbln_MCnc_Pt_Sr_Qn_Clcltd_mn,_Glbln_MCnc_Pt_Sr_Qn_Clcltd_mn,v003_Glbln_MCnc_Pt_Sr_Qn_Clcltd,859,4,3,1,309633,1,2712,13985,v003_Glbln_MCnc_Pt_Sr_Qn_Clcltd,,1,10834-0 - Globulin:MCnc:Pt:Ser:Qn:Calculated,3,LOINC,3,2,,v003,,
v003_Glbln_MCnc_Pt_Sr_Qn_Clcltd,_Glbln_MCnc_Pt_Sr_Qn_Clcltd,,859,4,3,1,309633,1,2712,13985,v003_Glbln_MCnc_Pt_Sr_Qn_Clcltd,,1,10834-0 - Globulin:MCnc:Pt:Ser:Qn:Calculated,3,LOINC,3,2,,v003,,TRUE
v004_LDL_MCnc_Pt_Sr_Pls_Qn_Clcltd_mn,_LDL_MCnc_Pt_Sr_Pls_Qn_Clcltd_mn,v004_LDL_MCnc_Pt_Sr_Pls_Qn_Clcltd,2648,3,3,1,303324,1,9021,12196,v004_LDL_MCnc_Pt_Sr_Pls_Qn_Clcltd,,1,13457-7 - Cholesterol.in LDL:MCnc:Pt:Ser/Plas:Qn:Calculated,4,LOINC,3,3,,v004,,
v004_LDL_MCnc_Pt_Sr_Pls_Qn_Clcltd,_LDL_MCnc_Pt_Sr_Pls_Qn_Clcltd,,2648,3,3,1,303324,1,9021,12196,v004_LDL_MCnc_Pt_Sr_Pls_Qn_Clcltd,,1,13457-7 - Cholesterol.in LDL:MCnc:Pt:Ser/Plas:Qn:Calculated,4,LOINC,3,3,,v004,,TRUE
v006_amntrnsfrs_CCnc_Pt_Sr_Pls_Qn_mn,_amntrnsfrs_CCnc_Pt_Sr_Pls_Qn_mn,v006_amntrnsfrs_CCnc_Pt_Sr_Pls_Qn,5559,3,8,1,285200,1,27145,9285,v006_amntrnsfrs_CCnc_Pt_Sr_Pls_Qn,,1,1742-6 - Alanine aminotransferase:CCnc:Pt:Ser/Plas:Qn,6,LOINC,8,3,,v006,,
v006_amntrnsfrs_CCnc_Pt_Sr_Pls_Qn,_amntrnsfrs_CCnc_Pt_Sr_Pls_Qn,,5559,3,8,1,285200,1,27145,9285,v006_amntrnsfrs_CCnc_Pt_Sr_Pls_Qn,,1,1742-6 - Alanine aminotransferase:CCnc:Pt:Ser/Plas:Qn,6,LOINC,8,3,,v006,,TRUE
v007_Albmn_MCnc_Pt_Sr_Pls_Qn_mn,_Albmn_MCnc_Pt_Sr_Pls_Qn_mn,v007_Albmn_MCnc_Pt_Sr_Pls_Qn,5270,4,8,1,284896,1,27449,9574,v007_Albmn_MCnc_Pt_Sr_Pls_Qn,,1,1751-7 - Albumin:MCnc:Pt:Ser/Plas:Qn,7,LOINC,8,2,,v007,,
v007_Albmn_MCnc_Pt_Sr_Pls_Qn,_Albmn_MCnc_Pt_Sr_Pls_Qn,,5270,4,8,1,284896,1,27449,9574,v007_Albmn_MCnc_Pt_Sr_Pls_Qn,,1,1751-7 - Albumin:MCnc:Pt:Ser/Plas:Qn,7,LOINC,8,2,,v007,,TRUE
v008_Sts__ptnts_cd,_Sts__ptnts_cd,v008_Sts__ptnts,261,1,1,,312082,1,263,14583,v008_Sts__ptnts,,2,1760 Vital Status,8,NAACCR,1,,,v008,,
v008_Sts__ptnts,_Sts__ptnts,,261,1,1,,312082,1,263,14583,v008_Sts__ptnts,,2,1760 Vital Status,8,NAACCR,1,,,v008,,TRUE
v009_Clcm_MCnc_Pt_Sr_Pls_Qn_mn,_Clcm_MCnc_Pt_Sr_Pls_Qn_mn,v009_Clcm_MCnc_Pt_Sr_Pls_Qn,6204,1,34,1,268932,1,43413,8640,v009_Clcm_MCnc_Pt_Sr_Pls_Qn,,1,17861-6 - Calcium:MCnc:Pt:Ser/Plas:Qn,9,LOINC,34,3,,v009,,
v009_Clcm_MCnc_Pt_Sr_Pls_Qn,_Clcm_MCnc_Pt_Sr_Pls_Qn,,6204,1,34,1,268932,1,43413,8640,v009_Clcm_MCnc_Pt_Sr_Pls_Qn,,1,17861-6 - Calcium:MCnc:Pt:Ser/Plas:Qn,9,LOINC,34,3,,v009,,TRUE
v010_Clcm_inzd_MCnc_Pt_Sr_Pls_Qn_mn,_Clcm_inzd_MCnc_Pt_Sr_Pls_Qn_mn,v010_Clcm_inzd_MCnc_Pt_Sr_Pls_Qn,3,2,1,1,312342,1,3,14841,v010_Clcm_inzd_MCnc_Pt_Sr_Pls_Qn,,1,17863-2 - Calcium.ionized:MCnc:Pt:Ser/Plas:Qn,10,LOINC,1,,,v010,,
v010_Clcm_inzd_MCnc_Pt_Sr_Pls_Qn,_Clcm_inzd_MCnc_Pt_Sr_Pls_Qn,,3,2,1,1,312342,1,3,14841,v010_Clcm_inzd_MCnc_Pt_Sr_Pls_Qn,,1,17863-2 - Calcium.ionized:MCnc:Pt:Ser/Plas:Qn,10,LOINC,1,,,v010,,TRUE
v011_LDL_MCnc_Pt_Sr_Pls_Qn_Drct_mn,_LDL_MCnc_Pt_Sr_Pls_Qn_Drct_mn,v011_LDL_MCnc_Pt_Sr_Pls_Qn_Drct,6,1,1,1,312338,1,7,14838,v011_LDL_MCnc_Pt_Sr_Pls_Qn_Drct,,1,18262-6 - Cholesterol.in LDL:MCnc:Pt:Ser/Plas:Qn:Direct assay,11,LOINC,1,1,,v011,,
v011_LDL_MCnc_Pt_Sr_Pls_Qn_Drct,_LDL_MCnc_Pt_Sr_Pls_Qn_Drct,,6,1,1,1,312338,1,7,14838,v011_LDL_MCnc_Pt_Sr_Pls_Qn_Drct,,1,18262-6 - Cholesterol.in LDL:MCnc:Pt:Ser/Plas:Qn:Direct assay,11,LOINC,1,1,,v011,,TRUE
v012_Blrbn_glcrndtd_Blrbn_albmn_mn,_Blrbn_glcrndtd_Blrbn_albmn_mn,v012_Blrbn_glcrndtd_Blrbn_albmn,1617,1,4,1,307119,1,5226,13227,v012_Blrbn_glcrndtd_Blrbn_albmn,,1,1968-7 - Bilirubin.glucuronidated+Bilirubin.albumin bound:MCnc:Pt:Ser/Plas:Qn,12,LOINC,4,2,,v012,,
v012_Blrbn_glcrndtd_Blrbn_albmn,_Blrbn_glcrndtd_Blrbn_albmn,,1617,1,4,1,307119,1,5226,13227,v012_Blrbn_glcrndtd_Blrbn_albmn,,1,1968-7 - Bilirubin.glucuronidated+Bilirubin.albumin bound:MCnc:Pt:Ser/Plas:Qn,12,LOINC,4,2,,v012,,TRUE
v013_Blrbn_MCnc_Pt_Sr_Pls_Qn_mn,_Blrbn_MCnc_Pt_Sr_Pls_Qn_mn,v013_Blrbn_MCnc_Pt_Sr_Pls_Qn,5843,1,8,1,283581,1,28764,9001,v013_Blrbn_MCnc_Pt_Sr_Pls_Qn,,1,1975-2 - Bilirubin:MCnc:Pt:Ser/Plas:Qn,13,LOINC,8,3,,v013,,
v013_Blrbn_MCnc_Pt_Sr_Pls_Qn,_Blrbn_MCnc_Pt_Sr_Pls_Qn,,5843,1,8,1,283581,1,28764,9001,v013_Blrbn_MCnc_Pt_Sr_Pls_Qn,,1,1975-2 - Bilirubin:MCnc:Pt:Ser/Plas:Qn,13,LOINC,8,3,,v013,,TRUE
v014_dxd_SCnc_Pt_Sr_Pls_Qn_mn,_dxd_SCnc_Pt_Sr_Pls_Qn_mn,v014_dxd_SCnc_Pt_Sr_Pls_Qn,6202,1,34,1,269023,1,43322,8642,v014_dxd_SCnc_Pt_Sr_Pls_Qn,,1,2028-9 - Carbon dioxide:SCnc:Pt:Ser/Plas:Qn,14,LOINC,34,3,,v014,,
v014_dxd_SCnc_Pt_Sr_Pls_Qn,_dxd_SCnc_Pt_Sr_Pls_Qn,,6202,1,34,1,269023,1,43322,8642,v014_dxd_SCnc_Pt_Sr_Pls_Qn,,1,2028-9 - Carbon dioxide:SCnc:Pt:Ser/Plas:Qn,14,LOINC,34,3,,v014,,TRUE
v015_Chlrd_SCnc_Pt_Bld_Qn_mn,_Chlrd_SCnc_Pt_Bld_Qn_mn,v015_Chlrd_SCnc_Pt_Bld_Qn,3,1,1,1,312342,1,3,14841,v015_Chlrd_SCnc_Pt_Bld_Qn,,1,2069-3 - Chloride:SCnc:Pt:Bld:Qn,15,LOINC,1,,,v015,,
v015_Chlrd_SCnc_Pt_Bld_Qn,_Chlrd_SCnc_Pt_Bld_Qn,,3,1,1,1,312342,1,3,14841,v015_Chlrd_SCnc_Pt_Bld_Qn,,1,2069-3 - Chloride:SCnc:Pt:Bld:Qn,15,LOINC,1,,,v015,,TRUE
v016_HDL_MCnc_Pt_Sr_Pls_Qn_mn,_HDL_MCnc_Pt_Sr_Pls_Qn_mn,v016_HDL_MCnc_Pt_Sr_Pls_Qn,2685,1,3,1,302979,1,9366,12159,v016_HDL_MCnc_Pt_Sr_Pls_Qn,,1,2085-9 - Cholesterol.in HDL:MCnc:Pt:Ser/Plas:Qn,16,LOINC,3,2,,v016,,
v016_HDL_MCnc_Pt_Sr_Pls_Qn,_HDL_MCnc_Pt_Sr_Pls_Qn,,2685,1,3,1,302979,1,9366,12159,v016_HDL_MCnc_Pt_Sr_Pls_Qn,,1,2085-9 - Cholesterol.in HDL:MCnc:Pt:Ser/Plas:Qn,16,LOINC,3,2,,v016,,TRUE
v017_Chlstrl_MCnc_Pt_Sr_Pls_Qn_mn,_Chlstrl_MCnc_Pt_Sr_Pls_Qn_mn,v017_Chlstrl_MCnc_Pt_Sr_Pls_Qn,2721,1,3,1,302795,1,9550,12123,v017_Chlstrl_MCnc_Pt_Sr_Pls_Qn,,1,2093-3 - Cholesterol:MCnc:Pt:Ser/Plas:Qn,17,LOINC,3,3,,v017,,
v017_Chlstrl_MCnc_Pt_Sr_Pls_Qn,_Chlstrl_MCnc_Pt_Sr_Pls_Qn,,2721,1,3,1,302795,1,9550,12123,v017_Chlstrl_MCnc_Pt_Sr_Pls_Qn,,1,2093-3 - Cholesterol:MCnc:Pt:Ser/Plas:Qn,17,LOINC,3,3,,v017,,TRUE
v019_Crtn_MCnc_Pt_Sr_Pls_Qn_mn,_Crtn_MCnc_Pt_Sr_Pls_Qn_mn,v019_Crtn_MCnc_Pt_Sr_Pls_Qn,6224,1,34,1,268237,1,44108,8620,v019_Crtn_MCnc_Pt_Sr_Pls_Qn,,1,2160-0 - Creatinine:MCnc:Pt:Ser/Plas:Qn,19,LOINC,34,3,,v019,,
v019_Crtn_MCnc_Pt_Sr_Pls_Qn,_Crtn_MCnc_Pt_Sr_Pls_Qn,,6224,1,34,1,268237,1,44108,8620,v019_Crtn_MCnc_Pt_Sr_Pls_Qn,,1,2160-0 - Creatinine:MCnc:Pt:Ser/Plas:Qn,19,LOINC,34,3,,v019,,TRUE
v020_Glcs_MCnc_Pt_Bld_Qn_mn,_Glcs_MCnc_Pt_Bld_Qn_mn,v020_Glcs_MCnc_Pt_Bld_Qn,673,1,9,1,311536,1,809,14171,v020_Glcs_MCnc_Pt_Bld_Qn,,1,2339-0 - Glucose:MCnc:Pt:Bld:Qn,20,LOINC,9,3,,v020,,
v020_Glcs_MCnc_Pt_Bld_Qn,_Glcs_MCnc_Pt_Bld_Qn,,673,1,9,1,311536,1,809,14171,v020_Glcs_MCnc_Pt_Bld_Qn,,1,2339-0 - Glucose:MCnc:Pt:Bld:Qn,20,LOINC,9,3,,v020,,TRUE
v021_Glcs_MCnc_Pt_Sr_Pls_Qn_mn,_Glcs_MCnc_Pt_Sr_Pls_Qn_mn,v021_Glcs_MCnc_Pt_Sr_Pls_Qn,6246,1,34,1,269373,1,42972,8598,v021_Glcs_MCnc_Pt_Sr_Pls_Qn,,1,2345-7 - Glucose:MCnc:Pt:Ser/Plas:Qn,21,LOINC,34,3,1,v021,T,
v021_Glcs_MCnc_Pt_Sr_Pls_Qn,_Glcs_MCnc_Pt_Sr_Pls_Qn,,6246,1,34,1,269373,1,42972,8598,v021_Glcs_MCnc_Pt_Sr_Pls_Qn,,1,2345-7 - Glucose:MCnc:Pt:Ser/Plas:Qn,21,LOINC,34,3,1,v021,T,TRUE
v022_Prtn_MCnc_Pt_Sr_Pls_Qn_mn,_Prtn_MCnc_Pt_Sr_Pls_Qn_mn,v022_Prtn_MCnc_Pt_Sr_Pls_Qn,5200,3,8,1,285828,1,26517,9644,v022_Prtn_MCnc_Pt_Sr_Pls_Qn,,1,2885-2 - Protein:MCnc:Pt:Ser/Plas:Qn,22,LOINC,8,3,,v022,,
v022_Prtn_MCnc_Pt_Sr_Pls_Qn,_Prtn_MCnc_Pt_Sr_Pls_Qn,,5200,3,8,1,285828,1,26517,9644,v022_Prtn_MCnc_Pt_Sr_Pls_Qn,,1,2885-2 - Protein:MCnc:Pt:Ser/Plas:Qn,22,LOINC,8,3,,v022,,TRUE
v023_Sdm_SCnc_Pt_Bld_Qn_mn,_Sdm_SCnc_Pt_Bld_Qn_mn,v023_Sdm_SCnc_Pt_Bld_Qn,128,1,34,1,312131,1,214,14716,v023_Sdm_SCnc_Pt_Bld_Qn,,1,2947-0 - Sodium:SCnc:Pt:Bld:Qn,23,LOINC,34,2,,v023,,
v023_Sdm_SCnc_Pt_Bld_Qn,_Sdm_SCnc_Pt_Bld_Qn,,128,1,34,1,312131,1,214,14716,v023_Sdm_SCnc_Pt_Bld_Qn,,1,2947-0 - Sodium:SCnc:Pt:Bld:Qn,23,LOINC,34,2,,v023,,TRUE
v024_Sdm_SCnc_Pt_Sr_Pls_Qn_mn,_Sdm_SCnc_Pt_Sr_Pls_Qn_mn,v024_Sdm_SCnc_Pt_Sr_Pls_Qn,6206,1,34,1,268905,1,43440,8638,v024_Sdm_SCnc_Pt_Sr_Pls_Qn,,1,2951-2 - Sodium:SCnc:Pt:Ser/Plas:Qn,24,LOINC,34,3,,v024,,
v024_Sdm_SCnc_Pt_Sr_Pls_Qn,_Sdm_SCnc_Pt_Sr_Pls_Qn,,6206,1,34,1,268905,1,43440,8638,v024_Sdm_SCnc_Pt_Sr_Pls_Qn,,1,2951-2 - Sodium:SCnc:Pt:Ser/Plas:Qn,24,LOINC,34,3,,v024,,TRUE
v025_vlm_EntVl_Pt_Bld_Qn_Atmtd_mn,_vlm_EntVl_Pt_Bld_Qn_Atmtd_mn,v025_vlm_EntVl_Pt_Bld_Qn_Atmtd,5889,1,14,1,275831,1,36514,8955,v025_vlm_EntVl_Pt_Bld_Qn_Atmtd,,1,32623-1 - Platelet mean volume:EntVol:Pt:Bld:Qn:Automated count,25,LOINC,14,2,,v025,,
v025_vlm_EntVl_Pt_Bld_Qn_Atmtd,_vlm_EntVl_Pt_Bld_Qn_Atmtd,,5889,1,14,1,275831,1,36514,8955,v025_vlm_EntVl_Pt_Bld_Qn_Atmtd,,1,32623-1 - Platelet mean volume:EntVol:Pt:Bld:Qn:Automated count,25,LOINC,14,2,,v025,,TRUE
v026_gp_SCnc_Pt_Sr_Pls_Qn_mn,_gp_SCnc_Pt_Sr_Pls_Qn_mn,v026_gp_SCnc_Pt_Sr_Pls_Qn,5624,1,34,1,273179,1,39166,9220,v026_gp_SCnc_Pt_Sr_Pls_Qn,,1,33037-3 - Anion gap:SCnc:Pt:Ser/Plas:Qn,26,LOINC,34,2,,v026,,
v026_gp_SCnc_Pt_Sr_Pls_Qn,_gp_SCnc_Pt_Sr_Pls_Qn,,5624,1,34,1,273179,1,39166,9220,v026_gp_SCnc_Pt_Sr_Pls_Qn,,1,33037-3 - Anion gap:SCnc:Pt:Ser/Plas:Qn,26,LOINC,34,2,,v026,,TRUE
v027_M_prdctd_ArVRt_Pt_Sr_Pls_Qn_Crtn_bsd_mn,_M_prdctd_ArVRt_Pt_Sr_Pls_Qn_Crtn_bsd_mn,v027_M_prdctd_ArVRt_Pt_Sr_Pls_Qn_Crtn_bsd,1503,3,3,1,306959,1,5386,13341,v027_M_prdctd_ArVRt_Pt_Sr_Pls_Qn_Crtn_bsd,,1,33914-3 - Glomerular filtration rate/1.73 sq M.predicted:ArVRat:Pt:Ser/Plas:Qn:Creatinine-based formula (MDRD),27,LOINC,3,1,,v027,,
v027_M_prdctd_ArVRt_Pt_Sr_Pls_Qn_Crtn_bsd,_M_prdctd_ArVRt_Pt_Sr_Pls_Qn_Crtn_bsd,,1503,3,3,1,306959,1,5386,13341,v027_M_prdctd_ArVRt_Pt_Sr_Pls_Qn_Crtn_bsd,,1,33914-3 - Glomerular filtration rate/1.73 sq M.predicted:ArVRat:Pt:Ser/Plas:Qn:Creatinine-based formula (MDRD),27,LOINC,3,1,,v027,,TRUE
v028_Crtn_MCnc_Pt_Bld_Qn_mn,_Crtn_MCnc_Pt_Bld_Qn_mn,v028_Crtn_MCnc_Pt_Bld_Qn,256,1,1,1,311931,1,414,14588,v028_Crtn_MCnc_Pt_Bld_Qn,,1,38483-4 - Creatinine:MCnc:Pt:Bld:Qn,28,LOINC,1,2,,v028,,
v028_Crtn_MCnc_Pt_Bld_Qn,_Crtn_MCnc_Pt_Bld_Qn,,256,1,1,1,311931,1,414,14588,v028_Crtn_MCnc_Pt_Bld_Qn,,1,38483-4 - Creatinine:MCnc:Pt:Bld:Qn,28,LOINC,1,2,,v028,,TRUE
v029_gp_SCnc_Pt_Bld_Qn_mn,_gp_SCnc_Pt_Bld_Qn_mn,v029_gp_SCnc_Pt_Bld_Qn,3,1,1,1,312342,1,3,14841,v029_gp_SCnc_Pt_Bld_Qn,,1,41276-7 - Anion gap:SCnc:Pt:Bld:Qn,29,LOINC,1,1,,v029,,
v029_gp_SCnc_Pt_Bld_Qn,_gp_SCnc_Pt_Bld_Qn,,3,1,1,1,312342,1,3,14841,v029_gp_SCnc_Pt_Bld_Qn,,1,41276-7 - Anion gap:SCnc:Pt:Bld:Qn,29,LOINC,1,1,,v029,,TRUE
v030_Glcs_MCnc_Pt_BldC_Qn_Glcmtr_mn,_Glcs_MCnc_Pt_BldC_Qn_Glcmtr_mn,v030_Glcs_MCnc_Pt_BldC_Qn_Glcmtr,1795,1,127,1,297112,1,15233,13049,v030_Glcs_MCnc_Pt_BldC_Qn_Glcmtr,,1,41653-7 - Glucose:MCnc:Pt:BldC:Qn:Glucometer,30,LOINC,127,3,,v030,,
