colname,durablename,static,pats,units_cd,mxinsts,nval_num,patvis_null,mxconmod,patvis,pats_null,colid,mod,ccd,name,cid,ddomain,mxfacts,valueflag_cd,tval_char,colcd,valtype_cd,c_info,c_icd9,c_icd10,c_icd9pcs,c_icd10pcs,c_cpt,c_loinc,standard_code,c_hospinfect,c_decubulcer,c_endometab,c_thromb,c_cardiac,c_respiratory,c_hemorrhage,c_drugadverse,c_fluidmgmt,c_mother,c_fetus,c_surgcomp,c_hosptrauma,c_anaesthesia,c_delirium,c_cns,c_gastro,c_severe,c_psi,dispname,comment_persistant,rename,c_patdata,c_vitals,c_visdata,c_death,c_respillness,c_falls,c_exposescreen,c_corona,c_vent,c_multicode,c_diabetes,c_override_keep,dispname_short,c_mainresponse,c_response,c_truefalse,c_predictor,c_integer,c_numeric,c_special,c_agingpaper,c_safetypaper,c_safetypapernew,c_fampractice,components
patient_num,patient_num,---,,,,,,,,,patient_num,,,patient_num,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA:patient_num,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
start_date,start_date,2020-07-21,,,,,,,,,start_date,,,start_date,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA:start_date,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birth_date,birth_date,2020-07-21,,,,,,,,,birth_date,,,birth_date,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA:birth_date,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sex_cd,sex_cd,---,,,,,,,,,sex_cd,,,sex_cd,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA:sex_cd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Sex,,,TRUE,,,,,,,,,,,,Sex,,,,,,,,,,,,
language_cd,language_cd,---,,,,,,,,,language_cd,,,language_cd,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA:language_cd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Language,,,TRUE,,,,,,,,,,,,Language,,,,,,,,,,,,
race_cd,race_cd,---,,,,,,,,,race_cd,,,race_cd,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA:race_cd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Race,,,TRUE,,,,,,,,,,,,Race,,,,,,,,,,,,
age_at_visit_days,age_at_visit_days,0,,,,,,,,,age_at_visit_days,,,age_at_visit_days,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA:age_at_visit_days,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Patient age (days),,,TRUE,,,,,,,,,,,,Patient age (days),,,,,,,,,,,,
age_at_death_days,age_at_death_days,0,,,,,,,,,age_at_death_days,,,age_at_death_days,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA:age_at_death_days,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Patient age at death (days),,,TRUE,,,,,,,,,,,,Patient age at death (days),,,,,,,,,,,,
v002_vntltrs_brthng_tf,_vntltrs_brthng_tf,v002_vntltrs_brthng,3,1,1,,312342,1,3,14841,v002_vntltrs_brthng,,1,"1014859 - Ventilation assist and management, initiation of pressure or volume preset ventilators for assisted or controlled breathing",2,CPT,1,,,v002,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CPT:1014859,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,
v002_vntltrs_brthng,_vntltrs_brthng,,3,1,1,,312342,1,3,14841,v002_vntltrs_brthng,,1,"1014859 - Ventilation assist and management, initiation of pressure or volume preset ventilators for assisted or controlled breathing",2,CPT,1,,,v002,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,CPT:1014859,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
